location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2,369.9810606060606
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4,461.53846153846155
Uttarahalli,3 BHK,1440.0,2.0,62.0,3,430.55555555555554
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,624.5890861275477
Kothanur,2 BHK,1200.0,2.0,51.0,2,425.0
Whitefield,2 BHK,1170.0,2.0,38.0,2,324.78632478632477
Old Airport Road,4 BHK,2732.0,4.0,204.0,4,746.705710102489
Rajaji Nagar,4 BHK,3300.0,4.0,600.0,4,1818.1818181818182
Marathahalli,3 BHK,1310.0,3.0,63.25,3,482.82442748091603
Gandhi Bazar,6 Bedroom,1020.0,6.0,370.0,6,3627.450980392157
Whitefield,3 BHK,1800.0,2.0,70.0,3,388.8888888888889
Whitefield,4 Bedroom,2785.0,5.0,295.0,4,1059.245960502693
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,380.0
Gottigere,2 BHK,1100.0,2.0,40.0,2,363.6363636363636
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3,657.7777777777778
Mysore Road,2 BHK,1175.0,2.0,73.5,2,625.531914893617
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3,406.77966101694915
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3,389.61038961038963
Ramakrishnappa Layout,3 BHK,2770.0,4.0,290.0,3,1046.9314079422384
Manayata Tech Park,2 BHK,1100.0,2.0,48.0,2,436.3636363636364
Kengeri,1 BHK,600.0,1.0,15.0,1,250.0
Binny Pete,3 BHK,1755.0,3.0,122.0,3,695.1566951566952
Thanisandra,4 Bedroom,2800.0,5.0,380.0,4,1357.142857142857
Bellandur,3 BHK,1767.0,3.0,103.0,3,582.9088851160159
 Thanisandra,1 RK,510.0,1.0,25.25,1,495.0980392156863
Mangammanapalya,3 BHK,1250.0,3.0,56.0,3,448.0
Electronic City,2 BHK,660.0,1.0,23.1,2,350.0
Whitefield,3 BHK,1610.0,3.0,81.0,3,503.1055900621118
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2,423.7185056472633
Electronic City,3 BHK,1025.0,2.0,47.0,3,458.5365853658537
Yelahanka,4 BHK,2475.0,4.0,186.0,4,751.5151515151515
Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3,325.5813953488372
Hebbal,3 BHK,1760.0,2.0,123.0,3,698.8636363636364
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3,338.984051978736
Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3,649.3506493506494
Kanakpura Road,2 BHK,700.0,2.0,36.0,2,514.2857142857143
Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2,425.23364485981307
Kundalahalli,3 BHK,1724.0,3.0,125.0,3,725.0580046403712
Chikkalasandra,3 BHK,1290.0,2.0,56.12,3,435.0387596899225
Uttarahalli,2 BHK,1143.0,2.0,45.0,2,393.7007874015748
Murugeshpalya,2 BHK,1296.0,2.0,81.0,2,625.0
Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3,303.030303030303
Ganga Nagar,1 BHK,600.0,1.0,38.0,1,633.3333333333334
Yelahanka,1 Bedroom,660.0,1.0,48.0,1,727.2727272727273
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2,689.766596029277
HSR Layout,8 Bedroom,600.0,9.0,200.0,8,3333.3333333333335
Doddathoguru,2 BHK,970.0,2.0,33.0,2,340.2061855670103
Whitefield,2 BHK,1459.0,2.0,94.82,2,649.8971898560657
KR Puram,2 Bedroom,800.0,1.0,130.0,2,1625.0
Himagiri Meadows,2 BHK,869.0,2.0,36.0,2,414.2692750287687
Adarsh Nagar,2 BHK,1270.0,2.0,50.0,2,393.7007874015748
Bhoganhalli,3 BHK,1670.0,3.0,99.0,3,592.814371257485
Whitefield,3 BHK,2010.0,3.0,91.0,3,452.7363184079602
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,632.9113924050633
Yelahanka,3 BHK,1600.0,2.0,75.0,3,468.75
Begur Road,2 BHK,1200.0,2.0,44.0,2,366.6666666666667
Ramakrishnappa Layout,2 BHK,1500.0,2.0,185.0,2,1233.3333333333333
Murugeshpalya,6 Bedroom,1407.0,4.0,150.0,6,1066.0980810234541
Govindaraja Nagar Ward,2 BHK,840.0,2.0,45.0,2,535.7142857142857
Tharabanahalli,3 Bedroom,4395.0,3.0,240.0,3,546.0750853242321
Ganga Nagar,2 BHK,845.0,2.0,55.0,2,650.887573964497
Whitefield,4 Bedroom,5700.0,5.0,650.0,4,1140.3508771929824
Varthur,2 BHK,1160.0,2.0,44.0,2,379.3103448275862
Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8,466.6666666666667
Doddathoguru,2 BHK,1100.0,2.0,62.0,2,563.6363636363636
Gunjur,2 BHK,1140.0,2.0,43.0,2,377.1929824561403
Marathahalli,2 BHK,1220.0,2.0,57.0,2,467.21311475409834
Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8,629.6296296296297
Kanakpura Road,2 BHK,1005.0,2.0,36.68,2,364.97512437810946
Double Road,3 Bedroom,500.0,3.0,100.0,3,2000.0
Begur Road,2 BHK,1358.0,2.0,80.58,2,593.3726067746686
Hegde Nagar,3 BHK,1569.0,3.0,101.0,3,643.7221159974506
Haralur Road,2 BHK,1240.0,2.0,70.0,2,564.516129032258
Hennur Road,3 BHK,2089.0,3.0,140.0,3,670.1771182383916
Kothannur,2 BHK,1206.0,2.0,48.23,2,399.9170812603648
Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2,347.82608695652175
Cholanayakanahalli,3 BHK,2511.0,3.0,205.0,3,816.4078056551175
Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2,478.2608695652174
ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6,568.1818181818181
Kodanda Reddy Layout,3 BHK,1660.0,2.0,105.0,3,632.5301204819277
Yelahanka,2 BHK,1326.0,2.0,78.0,2,588.2352941176471
Garudachar Palya,3 BHK,1325.0,2.0,60.8,3,458.8679245283019
EPIP Zone,3 BHK,1499.0,5.0,102.0,3,680.4536357571715
Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6,700.0
Kanakpura Road,3 BHK,1665.0,3.0,88.0,3,528.5285285285286
Dasanapura,2 BHK,708.0,2.0,37.0,2,522.5988700564972
Kasavanhalli,2 BHK,1060.0,2.0,58.06,2,547.7358490566038
Rajaji Nagar,6 Bedroom,710.0,6.0,160.0,6,2253.521126760563
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,700.0
Electronic City,2 BHK,1000.0,2.0,28.88,2,288.8
 Mysore Highway,3 BHK,1450.0,2.0,70.0,3,482.7586206896552
ISRO Layout,4 Bedroom,1200.0,4.0,155.0,4,1291.6666666666667
Thanisandra,2 BHK,1296.0,2.0,80.0,2,617.283950617284
Domlur,3 BHK,1540.0,3.0,90.0,3,584.4155844155844
Kengeri,4 Bedroom,2894.0,4.0,245.0,4,846.5791292328956
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,3,360.90225563909775
Devasthanagalu,2 BHK,1200.0,2.0,65.0,2,541.6666666666666
T Dasarahalli,3 Bedroom,1200.0,3.0,90.0,3,750.0
Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3,551.5587529976019
Chandapura,2 BHK,650.0,1.0,17.0,2,261.53846153846155
Kothanur,3 Bedroom,2400.0,2.0,150.0,3,625.0
Green View Layout,2 BHK,1007.0,2.0,43.0,2,427.01092353525326
Shantiniketan Layout,2 BHK,1200.0,2.0,50.0,2,416.6666666666667
Peenya,2 BHK,966.0,2.0,49.9,2,516.5631469979296
Nagarbhavi,3 BHK,1630.0,2.0,98.0,3,601.2269938650306
Rajaji Nagar,3 BHK,1640.0,3.0,229.0,3,1396.341463414634
Jalahalli West,2 BHK,782.0,2.0,55.68,2,712.0204603580563
Devanahalli,2 BHK,1260.0,2.0,66.78,2,530.0
Lakshmiamma Garden,3 BHK,1800.0,3.0,120.0,3,666.6666666666666
Byatarayanapura,3 BHK,1413.0,2.0,75.0,3,530.7855626326964
Whitefield,2 BHK,1116.0,2.0,51.91,2,465.1433691756272
Electronic City,3 BHK,1530.0,2.0,45.9,3,300.0
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4,608.1081081081081
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3,560.6728073688427
Kengeri,3 BHK,1540.0,2.0,64.0,3,415.5844155844156
Thanisandra,3 BHK,1436.0,3.0,74.75,3,520.5431754874652
Malleshwaram,2 BHK,1100.0,2.0,75.0,2,681.8181818181819
Hennur Road,2 Bedroom,276.0,3.0,23.0,2,833.3333333333334
Thanisandra,3 BHK,1427.0,3.0,120.0,3,840.9250175192713
Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3,970.402717127608
Hebbal,4 BHK,5611.5,4.0,477.0,4,850.0400962309543
Shampura,4 BHK,2650.0,4.0,150.0,4,566.0377358490566
Devanahalli,3 BHK,1282.0,2.0,68.52,3,534.4773790951638
Kadugodi,2 BHK,1050.0,2.0,34.0,2,323.8095238095238
